DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,Dp17O,Dp17OError,mrMismatch
2023-03-15 18:16:11,heavy,419.1,418.9,42.104,42.106,39.678,76.789,-152.7,4.2,0.2
2023-03-16 02:35:58,heavy,419.0,401.4,42.103,42.105,39.664,77.023,-280.6,4.1,17.6
2023-03-16 16:38:16,heavy,419.4,419.1,42.115,42.117,39.667,76.783,-159.4,6.1,0.3
2023-03-17 06:12:39,heavy,419.7,437.0,42.098,42.1,39.658,76.615,-85.8,3.8,-17.3
2023-03-17 08:55:34,heavy,419.9,419.6,42.083,42.085,39.653,76.795,-179.4,3.9,0.3
2023-03-17 16:55:05,heavy,419.8,401.8,42.093,42.093,39.657,77.006,-279.0,2.5,18.0
2023-03-17 22:15:06,heavy,419.7,436.9,42.081,42.082,39.665,76.581,-62.2,3.9,-17.2
2023-03-18 00:55:44,heavy,419.8,419.3,42.107,42.107,39.674,76.805,-163.8,9.6,0.5
2023-03-18 06:19:07,heavy,419.7,419.5,42.108,42.108,39.66,76.78,-165.3,7.3,0.2
2023-03-18 11:46:49,heavy,419.6,419.4,42.111,42.112,39.662,76.802,-173.7,4.0,0.2
2023-03-18 14:30:08,heavy,419.8,401.8,42.115,42.116,39.678,77.0,-255.6,5.0,18.0
2023-03-18 17:12:58,heavy,419.8,437.0,42.104,42.105,39.653,76.606,-86.0,5.7,-17.2
2023-03-18 19:56:21,heavy,419.6,419.5,42.098,42.099,39.657,76.805,-180.8,4.2,0.1
2023-03-19 01:22:11,heavy,419.4,419.2,42.13,42.131,39.663,76.812,-178.4,3.7,0.2
2023-03-19 06:48:34,heavy,419.0,418.9,42.103,42.105,39.668,76.822,-178.0,3.7,0.1
2023-03-15 21:01:40,light,419.0,419.5,42.132,42.134,-0.601,-0.728,-217.2,3.3,-0.5
2023-03-15 23:47:54,light,419.1,401.9,42.117,42.118,-0.616,-0.525,-338.7,3.6,17.2
2023-03-16 05:23:35,light,419.0,436.9,42.157,42.158,-0.582,-0.908,-102.8,4.0,-17.9
2023-03-16 19:20:38,light,419.0,419.2,42.116,42.117,-0.59,-0.732,-203.4,5.4,-0.2
2023-03-16 22:03:09,light,418.9,401.6,42.092,42.092,-0.573,-0.552,-282.1,5.0,17.3
2023-03-17 03:30:28,light,419.6,437.5,42.091,42.093,-0.59,-0.903,-112.5,3.9,-17.9
2023-03-17 11:35:40,light,420.1,420.1,42.075,42.075,-0.593,-0.716,-214.8,8.5,0.0
2023-03-17 14:14:33,light,420.0,402.7,42.071,42.07,-0.583,-0.495,-321.8,6.2,17.3
2023-03-17 19:34:19,light,419.8,437.5,42.089,42.089,-0.587,-0.922,-100.0,8.4,-17.7
2023-03-18 03:36:00,light,419.7,420.0,42.099,42.099,-0.593,-0.724,-210.7,4.7,-0.3
2023-03-18 09:04:16,light,419.7,419.9,42.085,42.085,-0.592,-0.74,-200.9,4.8,-0.2
2023-03-18 22:38:40,light,419.5,419.8,42.128,42.13,-0.582,-0.743,-189.5,4.2,-0.3
2023-03-19 04:05:12,light,419.4,419.7,42.099,42.1,-0.593,-0.751,-197.0,2.8,-0.3
