DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,Dp17O,Dp17OError
2022-08-30 18:51:58,heavy,419.4,418.7,41.424,41.425,39.7,77.158,-312.0,4.5
2022-09-12 02:31:54,heavy,419.0,418.0,41.617,41.617,39.661,77.197,-368.6,4.8
2022-09-12 01:51:15,heavy,419.3,417.9,41.61,41.611,39.697,77.182,-326.6,4.7
2022-09-11 22:24:44,heavy,420.0,418.7,41.592,41.593,39.698,77.143,-306.5,4.4
2022-09-11 21:44:56,heavy,419.7,418.2,41.59,41.59,39.707,77.202,-326.8,4.4
2022-09-11 21:04:57,heavy,419.8,418.5,41.581,41.579,39.718,77.162,-296.6,4.7
2022-09-08 12:32:45,heavy,421.9,420.3,41.361,41.362,39.66,77.129,-336.2,3.9
2022-09-08 11:52:02,heavy,421.3,420.2,41.38,41.382,39.677,77.158,-334.1,3.7
2022-09-08 07:44:17,heavy,420.8,419.7,41.379,41.381,39.686,77.152,-322.5,4.5
2022-09-08 07:03:58,heavy,421.9,420.2,41.324,41.324,39.702,77.154,-308.1,4.8
2022-09-08 03:37:34,heavy,421.0,419.8,41.333,41.333,39.66,77.134,-338.7,3.8
2022-09-08 02:57:39,heavy,421.7,420.8,41.331,41.333,39.648,77.103,-335.0,3.8
2022-09-08 02:17:45,heavy,421.3,420.5,41.329,41.328,39.619,77.098,-360.5,4.1
2022-09-03 05:36:23,heavy,419.4,418.1,41.543,41.543,39.663,77.14,-338.7,4.2
2022-09-08 08:24:57,heavy,420.9,419.6,41.336,41.337,39.681,77.154,-328.3,3.7
2022-09-03 04:15:45,heavy,419.8,418.5,41.539,41.539,39.666,77.148,-339.8,4.5
2022-09-03 04:55:47,heavy,419.9,418.8,41.531,41.533,39.658,77.134,-340.6,4.2
2022-08-30 19:32:54,heavy,419.0,418.4,41.435,41.435,39.664,77.146,-340.7,4.6
2022-08-30 20:12:40,heavy,420.1,419.4,41.348,41.347,39.693,77.135,-307.4,4.4
2022-08-31 01:59:38,heavy,419.9,418.8,41.438,41.436,39.678,77.141,-324.8,4.3
2022-08-31 03:21:28,heavy,420.7,419.8,41.38,41.38,39.667,77.133,-331.5,4.2
2022-09-02 18:42:01,heavy,420.7,419.6,41.477,41.478,39.659,77.136,-340.6,4.5
2022-08-31 02:40:26,heavy,420.1,418.9,41.433,41.433,39.692,77.156,-318.7,4.3
2022-09-02 20:03:23,heavy,421.0,419.5,41.528,41.553,39.634,77.074,-334.3,4.0
2022-09-02 23:28:32,heavy,420.6,419.2,41.511,41.51,39.671,77.121,-321.7,4.2
2022-09-03 00:09:33,heavy,419.9,419.2,41.515,41.515,39.68,77.149,-326.8,4.4
2022-09-03 00:49:55,heavy,420.4,419.2,41.521,41.523,39.671,77.128,-325.2,4.1
2022-09-02 19:22:12,heavy,420.6,419.5,41.49,41.492,39.632,77.058,-328.4,4.1
2022-09-08 05:21:31,light,421.1,420.0,41.337,41.337,-0.549,-0.846,-102.3,4.0
2022-09-08 10:49:34,light,420.5,420.4,41.374,41.374,-0.562,-0.874,-100.5,4.9
2022-09-08 06:01:44,light,421.4,420.4,41.326,41.326,-0.569,-0.871,-109.1,3.8
2022-09-08 09:29:00,light,421.4,420.4,41.352,41.354,-0.582,-0.869,-123.1,4.4
2022-09-08 10:09:51,light,420.8,420.1,41.396,41.396,-0.587,-0.893,-115.5,4.6
2022-09-08 14:16:52,light,420.9,420.3,41.392,41.392,-0.569,-0.864,-112.8,4.5
2022-09-12 04:15:25,light,419.3,418.4,41.613,41.619,-0.567,-0.899,-92.3,4.6
2022-09-08 15:36:56,light,420.7,420.2,41.445,41.447,-0.545,-0.862,-89.8,4.3
2022-09-11 23:28:39,light,419.7,419.1,41.583,41.583,-0.561,-0.849,-112.7,4.2
2022-09-12 00:09:12,light,419.2,418.7,41.596,41.595,-0.563,-0.857,-110.5,4.2
2022-09-12 00:49:01,light,419.1,418.9,41.616,41.62,-0.583,-0.878,-119.4,4.4
2022-09-08 04:41:25,light,421.2,420.6,41.345,41.346,-0.609,-0.894,-136.9,4.7
2022-09-08 14:57:13,light,421.1,420.5,41.396,41.398,-0.539,-0.845,-92.8,4.0
2022-09-03 08:00:00,light,419.5,418.7,41.554,41.554,-0.566,-0.867,-108.2,4.3
2022-08-30 21:17:38,light,420.8,420.2,41.339,41.34,-0.575,-0.838,-132.5,4.8
2022-09-03 06:39:22,light,419.9,418.9,41.543,41.544,-0.587,-0.893,-115.5,4.2
2022-09-03 03:14:07,light,419.9,419.1,41.528,41.53,-0.553,-0.864,-96.8,4.4
2022-09-03 02:34:40,light,420.1,419.3,41.519,41.521,-0.534,-0.835,-93.1,4.6
2022-09-03 01:54:02,light,419.7,419.2,41.546,41.547,-0.519,-0.813,-89.7,4.3
2022-09-02 22:27:12,light,420.4,419.7,41.513,41.514,-0.561,-0.869,-102.1,3.8
2022-09-02 21:46:47,light,420.6,420.0,41.499,41.499,-0.558,-0.823,-123.4,4.1
2022-09-02 21:06:17,light,420.6,419.9,41.492,41.492,-0.589,-0.91,-108.5,3.9
2022-08-31 05:45:36,light,421.1,420.3,41.398,41.4,-0.533,-0.848,-85.2,4.4
2022-08-31 05:05:10,light,421.1,420.5,41.351,41.352,-0.59,-0.881,-124.8,4.5
2022-08-31 04:25:06,light,420.8,420.2,41.393,41.393,-0.566,-0.832,-126.7,4.5
2022-08-30 22:39:51,light,420.0,419.7,41.362,41.361,-0.549,-0.826,-112.8,4.5
2022-08-30 21:58:59,light,420.3,419.7,41.352,41.352,-0.568,-0.854,-117.1,4.5
2022-09-12 04:56:19,light,418.5,417.8,41.671,41.682,-0.605,-0.891,-134.5,4.6
2022-09-03 07:19:31,light,419.5,419.0,41.547,41.547,-0.585,-0.889,-115.6,4.3
2022-09-12 05:36:40,light,418.2,417.9,41.641,41.641,-0.584,-0.892,-113.0,4.4
