DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,d18OError,Dp17O,Dp17OError,mrMismatch
2023-04-04 00:23:48,air,432.5,432.3,41.816,41.816,20.804,40.181,0.016,-209.7,3.1,0.2
2023-04-04 03:24:51,air,437.7,438.6,41.908,41.909,20.81,40.175,0.016,-201.0,3.2,-0.9
2023-04-04 06:06:30,air,439.1,438.5,41.839,41.841,20.816,40.174,0.01,-194.2,3.0,0.6
2023-04-04 09:06:01,air,456.1,457.7,41.921,41.922,20.768,40.028,0.007,-167.5,7.2,-1.6
2023-04-04 11:47:05,air,427.1,426.6,41.853,41.853,20.809,40.154,0.011,-191.3,5.9,0.5
2023-04-04 15:30:07,air,419.2,419.3,41.896,41.896,20.936,40.405,0.013,-194.8,5.9,-0.1
2023-04-04 18:09:46,air,421.9,420.9,41.829,41.83,20.936,40.427,0.011,-205.0,4.8,1.0
2023-04-04 21:05:31,air,422.8,422.9,41.901,41.901,20.958,40.444,0.014,-192.5,6.3,-0.1
2023-04-04 23:43:32,air,430.9,430.0,41.817,41.819,20.965,40.47,0.01,-199.0,7.1,0.9
2023-04-05 02:41:06,air,438.7,439.1,41.904,41.903,20.95,40.448,0.012,-202.5,6.3,-0.4
2023-04-05 05:21:41,air,436.0,435.4,41.827,41.829,20.911,40.393,0.011,-212.3,6.8,0.6
2023-04-05 08:19:14,air,447.6,448.9,41.902,41.904,20.88,40.282,0.005,-186.3,2.9,-1.3
2023-04-05 11:00:06,air,482.7,483.8,41.825,41.827,20.713,39.969,0.01,-191.7,8.5,-1.1
2023-04-05 13:58:38,air,423.0,423.5,41.918,41.919,20.82,40.148,0.016,-177.4,7.2,-0.5
2023-04-05 16:35:16,air,422.1,421.4,41.884,41.884,20.867,40.294,0.017,-205.3,4.2,0.7
2023-04-05 19:28:15,air,419.5,420.3,41.916,41.917,20.934,40.377,0.01,-182.0,3.8,-0.8
2023-04-05 22:05:14,air,436.5,435.9,41.804,41.805,20.946,40.422,0.013,-193.0,3.1,0.6
2023-04-06 00:59:01,air,441.2,441.9,41.898,41.9,20.94,40.411,0.019,-193.5,7.0,-0.7
2023-04-06 13:56:48,air,426.9,428.2,41.874,41.873,20.914,40.343,0.018,-183.8,6.0,-1.3
2023-04-06 16:34:26,air,425.8,425.9,41.801,41.802,20.944,40.45,0.01,-208.7,6.0,-0.1
2023-04-06 19:25:58,air,425.5,426.3,41.899,41.899,21.006,40.548,0.008,-198.5,4.0,-0.8
2023-04-06 22:04:55,air,445.3,445.5,41.808,41.809,21.05,40.641,0.008,-202.9,9.4,-0.2
2023-04-07 00:57:37,air,441.6,443.0,41.909,41.91,21.059,40.664,0.01,-205.6,9.0,-1.4
2023-04-07 03:33:22,air,445.6,445.7,41.823,41.823,21.077,40.716,0.014,-213.6,4.6,-0.1
2023-04-07 06:28:05,air,443.9,445.4,41.863,41.863,21.066,40.686,0.013,-210.0,9.8,-1.5
2023-04-07 09:05:56,air,485.0,486.1,41.8,41.8,20.964,40.502,0.01,-216.2,4.6,-1.1
2023-04-07 12:02:12,air,427.4,428.8,41.911,41.912,21.038,40.642,0.016,-214.4,5.1,-1.4
2023-04-07 14:38:34,air,423.4,422.7,41.849,41.849,21.076,40.724,0.008,-218.8,4.4,0.7
2023-04-07 17:29:58,air,421.0,421.7,41.885,41.885,21.121,40.773,0.01,-200.1,3.6,-0.7
2023-04-07 20:08:19,air,419.9,419.4,41.812,41.814,21.16,40.86,0.012,-205.7,4.5,0.5
2023-04-08 10:18:32,air,432.4,433.0,41.889,41.89,21.001,40.525,0.007,-191.4,5.2,-0.6
2023-04-08 12:57:22,air,432.7,432.7,41.852,41.852,20.912,40.37,0.004,-200.4,7.7,0.0
2023-04-08 15:53:07,air,430.5,430.7,41.908,41.909,20.878,40.301,0.008,-198.4,6.5,-0.2
2023-04-08 18:31:04,air,429.9,429.5,41.81,41.811,20.834,40.236,0.007,-208.5,5.2,0.4
2023-04-08 21:26:59,air,433.8,434.9,41.933,41.932,20.818,40.209,0.007,-210.0,4.8,-1.1
2023-04-09 00:06:28,air,452.5,452.7,41.786,41.786,20.751,40.099,0.003,-220.0,5.9,-0.2
2023-04-09 03:03:25,air,449.5,451.1,41.879,41.879,20.719,40.01,0.005,-206.2,5.0,-1.6
2023-04-09 05:42:32,air,468.8,469.8,41.777,41.777,20.628,39.829,0.002,-203.6,5.8,-1.0
2023-04-09 11:22:12,air,442.1,442.0,41.765,41.766,20.571,39.738,0.007,-212.8,8.2,0.1
2023-04-09 14:18:00,air,426.2,427.4,41.835,41.835,20.659,39.873,0.009,-195.7,7.1,-1.2
2023-04-09 16:53:57,air,424.5,424.2,41.779,41.78,20.71,40.011,0.011,-216.1,6.7,0.3
2023-04-09 19:46:12,air,423.3,424.2,41.836,41.836,20.775,40.12,0.01,-207.4,4.1,-0.9
2023-04-09 22:24:39,air,447.3,447.3,41.763,41.764,20.793,40.155,0.01,-207.3,4.8,0.0
